state,year,population
Oklahoma,2024,4097758
Oklahoma,2025,4123288
Oregon,2020,4243544
Oregon,2021,4254691
Oregon,2022,4245964
Oregon,2023,4250392
Oregon,2024,4265324
Oregon,2025,4273586
Pennsylvania,2020,12995576
Pennsylvania,2021,13016628
Pennsylvania,2022,12984655
Pennsylvania,2023,13009406
Pennsylvania,2024,13045848
Pennsylvania,2025,13059432
Puerto Rico,2020,3281591
Puerto Rico,2021,3262731
Puerto Rico,2022,3220148
Puerto Rico,2023,3203794
Puerto Rico,2024,3202521
Puerto Rico,2025,3184835
Rhode Island,2020,1096487
Rhode Island,2021,1097381
Rhode Island,2022,1098275
Rhode Island,2023,1101183
Rhode Island,2024,1110415
Rhode Island,2025,1114521
South Carolina,2020,5131992
South Carolina,2021,5194346
South Carolina,2022,5288957
South Carolina,2023,5390798
South Carolina,2024,5490316
South Carolina,2025,5570274
South Dakota,2020,887808
South Dakota,2021,896303
South Dakota,2022,909156
South Dakota,2023,917739
South Dakota,2024,927110
South Dakota,2025,935094
Tennessee,2020,6927736
Tennessee,2021,6966687
Tennessee,2022,7063325
Tennessee,2023,7153029
Tennessee,2024,7251291
Tennessee,2025,7315076
Texas,2020,29237895
Texas,2021,29572672
Texas,2022,30118002
Texas,2023,30719247
Texas,2024,31318578
Texas,2025,31709821
Utah,2020,3283970
Utah,2021,3339874
Utah,2022,3393928
Utah,2023,3449259
Utah,2024,3502983
Utah,2025,3538904
Vermont,2020,642965
Vermont,2021,647238
Vermont,2022,647614
Vermont,2023,647722
Vermont,2024,646521
Vermont,2025,644663
Virginia,2020,8637303
Virginia,2021,8660007
Virginia,2022,8681038
Virginia,2023,8732034
Virginia,2024,8819642
Virginia,2025,8880107
Washington,2020,7726812
Washington,2021,7744316
Washington,2022,7786828
Washington,2023,7838655
Washington,2024,7927958
Washington,2025,8001020
West Virginia,2020,1791670
West Virginia,2021,1785921
West Virginia,2022,1774003
West Virginia,2023,1770036
West Virginia,2024,1767402
West Virginia,2025,1766147
Wisconsin,2020,5897371
Wisconsin,2021,5882128
Wisconsin,2022,5903472
Wisconsin,2023,5930350
Wisconsin,2024,5957168
Wisconsin,2025,5972787
Wyoming,2020,577669
Wyoming,2021,579662
Wyoming,2022,581742
Wyoming,2023,584666
Wyoming,2024,586722
Wyoming,2025,588753
